dateTime,minuten
2023-01-25(22:10:01),237
2023-01-25(22:15:01),237
2023-01-25(22:20:01),234
2023-01-25(22:25:01),233
2023-01-25(22:30:01),270
2023-01-25(22:35:01),268
2023-01-25(22:40:01),235
2023-01-25(22:45:01),243
2023-01-25(22:50:01),222
2023-01-25(22:55:01),196
2023-01-25(23:00:01),155
2023-01-25(23:05:01),157
2023-01-25(23:10:01),137
2023-01-25(23:15:01),146
2023-01-25(23:20:01),154
2023-01-25(23:25:01),121
2023-01-25(23:30:01),102
2023-01-25(23:35:01),96
2023-01-25(23:40:01),90
2023-01-25(23:45:01),75
2023-01-25(23:50:01),96
2023-01-25(23:55:01),69
2023-01-26(00:00:01),74
2023-01-26(15:40:01),226
2023-01-26(15:45:01),236
2023-01-26(15:50:01),230
2023-01-26(15:55:01),252
2023-01-26(16:00:01),255
2023-01-26(16:05:01),279
2023-01-26(16:10:01),256
2023-09-19(12:25:02),450
2023-09-19(12:30:01),444
2023-09-19(12:35:08),447
2023-09-19(12:45:01),440
2023-09-19(12:50:01),456
2023-09-19(15:05:02),292
2023-09-19(15:10:01),278
2023-09-19(15:15:01),341
2023-09-19(15:20:01),345
2023-09-19(15:25:01),338
